Incoming Calls,Outgoing Calls,Answered Calls,Answer Rate,Abandoned Calls,Answer Speed (AVG),Talk Duration (AVG),Waiting Time (AVG),Service Level (20 Seconds),Sales Rep
169,81,162,95.86%,7,00:00:20,00:02:25,00:01:53,74.56%,Rep04
155,233,151,97.42%,4,00:00:21,00:02:20,00:02:45,70.97%,Rep07
169,204,137,81.07%,32,00:00:38,00:02:24,00:05:30,40.36%,Rep04
61,238,45,73.77%,16,00:00:32,00:02:49,00:05:30,40.98%,Rep07
167,84,136,81.44%,31,00:00:42,00:02:36,00:05:28,35.98%,Rep07
32,83,27,84.38%,5,00:00:35,00:02:22,00:03:10,53.13%,Rep08
229,259,148,64.63%,81,00:00:36,00:02:48,00:10:39,43.18%,Rep08
208,275,204,98.08%,4,00:00:19,00:03:06,00:05:14,77.67%,Rep10
175,80,168,96.00%,7,00:00:25,00:02:51,00:03:44,65.12%,Rep02
177,60,167,94.35%,10,00:00:22,00:02:41,00:04:24,68.39%,Rep06
822,48,767,93.31%,55,00:00:24,00:01:25,00:04:35,64.40%,Rep01
87,121,85,97.70%,2,00:00:23,00:02:25,00:02:17,67.82%,Rep08
41,242,39,95.12%,2,00:00:15,00:02:42,00:01:18,82.50%,Rep03
280,301,257,91.79%,23,00:00:31,00:02:33,00:07:55,63.87%,Rep07
199,181,192,96.48%,7,00:00:22,00:02:46,00:02:48,73.87%,Rep01
252,131,239,94.84%,13,00:00:29,00:02:29,00:03:36,64.92%,Rep03
220,199,208,94.55%,12,00:00:20,00:02:36,00:02:45,75.59%,Rep07
206,209,193,93.69%,13,00:00:24,00:02:27,00:03:37,75.49%,Rep03
217,185,206,94.93%,11,00:00:22,00:02:26,00:02:02,71.03%,Rep03
24,69,24,100.00%,0,00:00:19,00:02:50,00:01:07,79.17%,Rep02
248,139,238,95.97%,10,00:00:13,00:02:27,00:01:50,85.25%,Rep04
222,182,212,95.50%,10,00:00:20,00:02:25,00:03:41,77.73%,Rep02
190,320,178,93.68%,12,00:00:32,00:02:27,00:02:45,55.08%,Rep08
238,267,231,97.06%,7,00:00:20,00:02:27,00:02:03,79.66%,Rep08
214,288,205,95.79%,9,00:00:20,00:02:34,00:02:34,79.05%,Rep03
186,119,176,94.62%,10,00:00:23,00:02:15,00:05:03,70.88%,Rep02
21,45,20,95.24%,1,00:00:14,00:02:25,00:00:54,85.00%,Rep04
169,282,157,92.90%,12,00:00:21,00:02:29,00:04:30,77.71%,Rep04
149,40,141,94.63%,8,00:00:16,00:02:38,00:02:37,79.05%,Rep02
171,120,164,95.91%,7,00:00:19,00:02:22,00:03:49,77.19%,Rep09
127,266,122,96.06%,5,00:00:13,00:02:22,00:01:25,87.80%,Rep09
21,221,21,100.00%,0,00:00:08,00:03:03,00:00:58,90.48%,Rep08
5,235,5,100.00%,0,00:00:14,00:02:37,00:00:59,80.00%,Rep02
33,284,32,96.97%,1,00:00:26,00:02:04,00:01:45,66.67%,Rep05
145,249,139,95.86%,6,00:00:20,00:02:28,00:03:41,79.02%,Rep09
129,65,127,98.45%,2,00:00:19,00:02:13,00:01:49,75.59%,Rep09
194,135,178,91.75%,16,00:00:26,00:02:36,00:05:20,67.19%,Rep07
194,89,187,96.39%,7,00:00:24,00:02:25,00:03:44,77.25%,Rep10
202,94,195,96.53%,7,00:00:21,00:02:21,00:02:59,74.75%,Rep05
214,338,208,97.20%,6,00:00:13,00:02:19,00:00:57,88.15%,Rep03
28,372,28,100.00%,0,00:00:13,00:02:13,00:01:18,89.29%,Rep02
191,100,187,97.91%,4,00:00:15,00:02:23,00:01:40,82.54%,Rep03
205,219,197,96.10%,8,00:00:21,00:02:27,00:02:23,74.38%,Rep09
198,373,196,98.99%,2,00:00:23,00:02:28,00:02:03,73.60%,Rep02
184,163,177,96.20%,7,00:00:20,00:02:41,00:01:50,78.57%,Rep01
184,149,174,94.57%,10,00:00:25,00:02:27,00:02:47,70.00%,Rep10
168,66,160,95.24%,8,00:00:26,00:02:25,00:02:04,68.26%,Rep06
39,227,37,94.87%,2,00:00:14,00:02:08,00:01:03,81.08%,Rep09
225,126,210,93.33%,15,00:00:28,00:02:13,00:02:33,66.97%,Rep02
182,113,174,95.60%,8,00:00:32,00:02:16,00:03:56,60.22%,Rep03
346,84,305,88.15%,41,00:00:45,00:01:57,00:05:07,45.03%,Rep10
450,245,441,98.00%,9,00:00:19,00:01:53,00:02:31,78.30%,Rep05
259,179,248,95.75%,11,00:00:20,00:02:06,00:01:51,75.39%,Rep09
231,189,214,92.64%,17,00:00:18,00:02:06,00:02:31,79.56%,Rep07
48,40,47,97.92%,1,00:00:13,00:02:03,00:01:46,89.58%,Rep07
246,46,236,95.93%,10,00:00:20,00:02:11,00:04:36,79.18%,Rep09
202,324,195,96.53%,7,00:00:25,00:02:15,00:05:33,74.50%,Rep09
153,212,150,98.04%,3,00:00:15,00:02:15,00:02:12,82.24%,Rep02
178,178,172,96.63%,6,00:00:19,00:02:15,00:04:35,78.29%,Rep06
172,303,165,95.93%,7,00:00:19,00:02:24,00:03:24,79.29%,Rep05
208,369,200,96.15%,8,00:00:26,00:02:23,00:03:15,68.78%,Rep06
77,65,76,98.70%,1,00:00:29,00:02:16,00:01:54,58.44%,Rep07
291,220,250,85.91%,41,00:00:41,00:02:20,00:07:10,55.44%,Rep01
219,116,212,96.80%,7,00:00:21,00:02:19,00:01:50,76.85%,Rep10
173,249,169,97.69%,4,00:00:18,00:02:13,00:02:14,81.40%,Rep02
204,172,197,96.57%,7,00:00:17,00:02:23,00:01:57,80.00%,Rep10
216,52,185,85.65%,31,00:00:30,00:02:17,00:06:26,61.43%,Rep01
461,315,441,95.66%,20,00:00:30,00:02:18,00:03:40,61.49%,Rep06
56,384,55,98.21%,1,00:00:26,00:02:11,00:01:53,66.07%,Rep06
192,105,176,91.67%,16,00:00:23,00:02:05,00:02:47,68.28%,Rep03
382,260,365,95.55%,17,00:00:20,00:01:35,00:02:53,73.14%,Rep01
246,187,223,90.65%,23,00:00:25,00:02:14,00:05:24,71.67%,Rep07
48,81,46,95.83%,2,00:00:26,00:02:14,00:01:25,72.34%,Rep06
221,396,205,92.76%,16,00:00:26,00:02:15,00:03:15,63.08%,Rep05
275,308,261,94.91%,14,00:00:33,00:02:19,00:02:58,58.52%,Rep04
39,263,36,92.31%,3,00:00:19,00:01:53,00:01:52,77.78%,Rep10
250,360,236,94.40%,14,00:00:29,00:02:08,00:04:07,59.04%,Rep05
197,300,184,93.40%,13,00:00:29,00:02:23,00:03:41,55.61%,Rep06
223,68,208,93.27%,15,00:00:28,00:02:21,00:06:51,72.27%,Rep08
240,268,236,98.33%,4,00:00:18,00:02:14,00:02:08,77.92%,Rep05
55,248,52,94.55%,3,00:00:16,00:02:19,00:01:42,78.18%,Rep07
59,397,54,91.53%,5,00:00:08,00:02:06,00:02:01,84.75%,Rep01
36,150,31,86.11%,5,00:00:11,00:02:22,00:01:56,72.22%,Rep08
229,119,219,95.63%,10,00:00:13,00:02:07,00:02:35,84.89%,Rep09
206,194,189,91.75%,17,00:00:15,00:02:19,00:03:48,82.83%,Rep05
225,396,200,88.89%,25,00:00:21,00:02:21,00:04:42,73.11%,Rep01
